hgnc_symbol,Ep26.JAK1.E139K.1,Ep26.JAK1.E139K.2,Ep26.JAK1.E139K.3,Ep26.JAK1.S703I.1,Ep26.JAK1.S703I.2,Ep26.JAK1.S703I.3,Ep26.JAK1.WT.1,Ep26.JAK1.WT.2,Exp21.JAK1.E139K.1,Exp21.JAK1.E139K.2,Exp21.JAK1.E139K.3,Exp21.JAK1.S703I.1,Exp21.JAK1.S703I.2,Exp21.JAK1.S703I.3,Exp21.JAK1.WT.1,Exp21.JAK1.WT.2,Exp21.JAK1.WT.3,Exp25.JAK1.E139K.1,Exp25.JAK1.E139K.2,Exp25.JAK1.E139K.3,Exp25.JAK1.S703I.1,Exp25.JAK1.S703I.2,Exp25.JAK1.S703I.3,Exp25.JAK1.WT.1,Exp25.JAK1.WT.2,Exp25.JAK1.WT.3
SEMA3F,6.86785337172666,6.67313160682587,6.89927912295148,6.72696104800918,6.77848095865692,6.66809202717684,6.64554603515772,6.72307965338334,6.64541640181938,6.8171916275825,6.67293749969919,6.72289977225601,6.719024442215,6.7675884082894,6.55987767684666,6.73319193872589,6.76470662182836,7.2042868409949,7.35945915151607,7.21617047671143,7.31082267855017,7.29200479502149,7.3205598964726,7.14251152926838,7.07423354752926,7.20382771482829
ANKIB1,6.72317111061534,6.39453850770974,6.41004202820946,6.74881975702194,6.4872569680664,6.78864784184939,6.6427792619683,6.57414213914192,6.7861659540137,6.62530534856185,6.73231257051725,6.70031098010681,6.68938049278906,6.54594413756242,6.66042634093725,6.54814832594193,6.67328364648014,6.116055885809,6.3574485875493,6.40530994009966,6.16085047247816,6.50543424254729,6.29162961944368,6.55884532013285,6.54745516051809,6.42970667045779
CYP51A1,7.16283429088476,7.13991123179113,7.08511699491183,7.04985535821202,7.01665028039209,7.16074440005998,6.9180280139217,6.97937630835815,7.38383282469253,7.59960527218762,7.60745596084795,7.74894717589222,7.69552437779369,7.41092720056657,7.49036144495626,7.27537091722885,7.27507904312638,8.12947063721755,8.1839094607373,8.32091216149728,8.20939433899706,8.25035154261843,8.17020112341895,8.15461891966458,8.16772160360259,8.17081904006112
KRIT1,5.13893219043612,5.13846547951236,5.2363730507197,5.61325310544603,4.97062204958627,5.4047005836595,5.39310099374985,5.14292642099377,5.11918849718976,5.22685540116428,5.07667653998153,5.17030123589124,5.01043463066779,5.00357559387643,5.20511480383793,5.19701902887882,5.24984717847268,4.99382464690357,4.80878877645079,4.56410411667664,4.49380159777315,4.59196341740108,5.06309655081893,4.52173727189596,4.99571176670113,4.75156826971233
RAD52,4.92461257534253,4.75041732461023,5.0108681976285,5.11483636485192,4.84825575278309,4.84490096097973,5.32751370279465,5.13824515406885,5.20932482370919,4.75706203644234,4.54707464019254,4.78026644064128,4.39044700388211,4.30074236923693,4.85892990683523,4.90398284435493,5.1122442284695,3.33744965960761,3.13408024072469,3.7170481864342,3.94462875700544,3.73221409972982,3.97490185220796,3.22446808103582,3.64145865194125,4.24529640837644
MYH16,5.8044258681959,5.59437726216996,5.83852121498345,5.83487267339906,5.73801541843529,5.97911470914078,6.02777783364156,6.0609602432871,5.97531419125589,5.7574363980459,5.72579652419468,5.44233232698495,5.74391827446896,5.80243802506189,5.65082135126015,5.880753097285,6.03801357560056,4.26668128165677,4.03063834883849,3.79941569712438,3.94568164040255,4.22636829143507,4.15022043974996,4.33372354919579,4.44407414750967,4.0752666378368
BAD,5.44157476760429,5.51866921520734,5.39880567359399,5.39801986569602,5.55671634456881,5.28573287217654,5.40062317140857,5.3711154508163,5.52028983512295,5.34890534678943,5.38857254377759,5.4299160587449,5.42114873448584,5.43329562247382,5.41979074992596,5.50569444593408,5.41182000093771,5.62565589627929,5.61783236335023,5.63166484825198,5.395209430416,5.70089783846114,5.69129333601403,5.46401637815729,5.41886218051484,5.57816637402647
LAP3,6.22548626028447,6.23796166593636,6.05118357303743,6.29302280010659,6.34700006156064,6.42906704853554,6.14747366515286,6.26172661896657,6.09318110011176,6.01322911540163,5.9290940333822,6.16907981765382,6.02637086016475,6.10598312293553,5.96897679077423,6.05913276430301,5.94649858017508,6.13682656704924,6.1077368724221,6.12165825688688,6.05663434261676,5.94419753616301,5.81717091045045,6.05061503504283,6.25647301656067,6.03811969871928
CD99,7.24563243558852,7.27993635030461,7.28991238023885,7.31527884912,7.25420092527454,7.23432111774224,7.16003607130555,7.11598096168013,6.83394421900706,6.93771229985164,6.94893129994266,6.85265565764598,6.98325292171568,6.8291950079496,6.66698951957567,6.69219625787187,6.71590176006593,7.81415028926605,7.9288589333033,7.95032474538469,7.7692018563901,7.83542834731167,7.86694018857067,7.78481274367281,7.80631846791177,7.82785167999751
MAD1L1,6.7877947908196,6.68246447897,6.67939595113338,6.48963224551635,6.4383105990642,6.51421268635511,6.31411167608634,6.28809502994977,6.823942255754,7.34510022489987,6.98610383898216,7.23100905501795,7.08598610034107,7.12005885591155,7.24983539913415,7.07232421359198,7.06730916809409,7.93827820976712,8.33742134583647,8.25806250133894,8.19736863798194,8.29743884782159,8.19639655416126,8.07290609928276,8.03529631454125,7.9787190578481
LASP1,8.78867674990297,8.68385377781022,8.73332544744967,8.65128402365088,8.7410140860517,8.60846965472792,8.67937585755638,8.75489868627343,8.46147978006413,8.70281821718609,8.51972669880239,8.67647580496859,8.58942198753892,8.67793873544839,8.59784774428129,8.65804692522243,8.63489447355989,9.03180098814175,9.16978935372846,9.15694883434552,9.13189805459232,9.07780979422948,9.15261641743507,9.02060405651058,8.98530455393707,9.00642160307758
SNX11,4.11424014795629,4.08917351884345,3.86012943802031,3.94537045415232,4.1134130170096,4.2553080356031,4.14640287505619,3.87621519523476,3.73828192127549,3.56008386089901,4.16269002304515,4.05618053588957,4.20942942594352,3.91419907710065,3.94394411923804,4.15002906766461,4.1205571108466,3.9446526541724,4.23687718086815,4.09613926402043,3.87203495154823,4.30643837178111,3.72784529303005,3.98300225726896,4.40745333239425,3.87013179081878
M6PR,8.31663729067211,8.29771355582955,8.29022345849315,8.2994059541396,8.33274481315115,8.27211078905463,8.28563402701165,8.32110878795067,8.03089595541544,7.97889799557461,7.98961972045479,8.04381519990041,8.05407546269912,8.01393291880888,8.00535645439401,8.08077449020398,8.00636867515121,8.13563615493294,8.09063957843569,8.17176452910155,8.15923134893039,8.11223611466758,8.07389235147972,8.16827283865019,8.1253188815955,8.17010187284145
KLHL13,3.60219261859069,3.51806398575757,3.57316182109836,3.71484433182976,3.52699396259181,3.85182759824126,3.62402770740406,3.68315966264082,3.98238284436458,4.23251812735832,4.14840195528277,4.13570659239072,4.13179034999908,3.9846364937962,4.08793878321753,3.87969093969096,3.80329903391401,4.12327583202104,4.15066039861304,4.3159939455899,4.20798523995463,4.06556872797197,3.92907218752551,4.30114343215783,3.9766290848636,4.1668188741365
DBNDD1,5.74515591517327,5.58386910460467,5.67262583530522,5.67603700250975,5.78583650471719,5.66339452026339,5.79170085283499,5.7224309858452,5.80320156874119,5.90625111543635,5.78646778660635,5.72672212374687,5.79366323383317,5.95870762314645,5.84954344400892,5.75365586819536,5.83139623647005,5.89173212234087,5.8434132698084,5.67811782647151,5.55260391669812,5.58299231007291,5.78016278063851,5.67750538232925,5.49064427044263,5.69789309343285
ALS2,6.02514847977956,5.6783757681014,5.94723877648203,6.00013762131926,5.84454907192548,5.72217042653305,5.76724134340903,6.00641990681492,5.89269459600044,6.13784914330523,5.88915054252797,6.16998231449845,6.18005319096173,5.80260840328053,6.16258152942787,6.0732713832011,6.15500851469767,6.0485604131949,5.96498077823759,6.09724668907702,6.16521516533406,5.87936287229408,6.13037321328671,6.03020682057413,5.89593398665864,6.01479735331361
CASP10,3.59435436463116,3.28843912027592,2.59638030782245,3.03449199633632,2.4525890793229,2.51766395069278,3.23204535475615,2.89947229737861,3.65152953084664,3.28766843025896,3.12276085488047,2.82015703240794,3.30251414377202,3.23734740468163,3.12773731112347,2.90561795285757,2.84923903115388,3.06557363614847,2.79995523934543,2.57671887589954,3.7991195537814,2.36505566068502,3.24314502991881,3.11547780146768,2.56477413684668,2.83933462028171
CFLAR,4.34046389553237,4.11410018109374,4.23978643403707,4.37021664781845,4.56431374855902,4.42894612079036,4.34939006987164,4.23639552358599,4.74780022187623,4.78986878253985,4.90927859801777,4.95238672480919,4.92245429282006,4.51399537859174,4.785532811022,4.75267908662361,4.75306686961077,4.71031280409135,4.7626824671097,4.77526972805333,4.44205976025062,4.72099950467996,4.65487564569434,4.82210921714853,4.63441469181179,4.39009380026101
TFPI,2.6164937115338,2.27862785823418,2.29162570412871,2.68501199628754,2.48440221744282,2.33104384872607,2.55342148236247,2.93116979192693,3.4441687232938,2.80596384067708,3.66316292901125,3.01931692716914,2.89800379284197,3.05436550441038,3.45103738211653,2.77464844236347,2.51272110950952,2.03502025015699,2.35441464185953,2.44976159568101,2.22577442405456,2.14756145404264,2.62201423031288,2.80431811919206,2.38303402788535,2.54200100730939
NDUFAF7,4.23251890527222,3.76629309039509,3.41908282172519,3.88925859012132,3.76294342515914,3.72902833786206,3.68975594524864,3.74732757604303,3.83809230134718,3.72011775731732,3.93508568485137,3.83691565975896,3.70524744132798,3.69178921167019,3.90519369572021,3.95684669926342,3.6295077699233,3.45436465457244,3.26905444710368,3.29461569714456,3.13843763994161,3.81085265515977,3.52509937589597,3.49615907592642,3.6423481400174,3.70569116117761
