# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","12","JAK1","1.4633712768554688","0.01993454724683525","pTRIP Luciferase 1","FALSE"
"1","A1","13","JAK1","1.456526279449463","0.01589201248754208","pTRIP Luciferase 1","FALSE"
"1","A1","14","JAK1","1.449739933013916","0.011908128698707894","pTRIP Luciferase 1","FALSE"
"1","A1","15","JAK1","1.4455525875091553","0.01052324584065984","pTRIP Luciferase 1","FALSE"
"1","A1","16","JAK1","1.4415099620819092","0.009283083060126436","pTRIP Luciferase 1","FALSE"
"1","A1","17","JAK1","1.4261678457260132","-0.003256570649056872","pTRIP Luciferase 1","FALSE"
"1","A1","18","JAK1","1.4143216609954834","-0.012300292732873967","pTRIP Luciferase 1","FALSE"
"1","A1","19","JAK1","1.4078282117843628","-0.015991279297281884","pTRIP Luciferase 1","FALSE"
"1","A1","20","JAK1","1.4018598794937134","-0.019157148941218387","pTRIP Luciferase 1","FALSE"
"1","A1","21","JAK1","1.4083737134933472","-0.009840852294871909","pTRIP Luciferase 1","FALSE"
"1","A1","22","JAK1","1.4251011610031128","0.009689057861606405","pTRIP Luciferase 1","FALSE"
"1","A1","23","JAK1","1.4661203622817993","0.05351072178700562","pTRIP Luciferase 1","FALSE"
"1","A1","24","JAK1","1.5477321147918701","0.1379249369437891","pTRIP Luciferase 1","FALSE"
"1","A1","25","JAK1","1.7035932540893555","0.29658853888798714","pTRIP Luciferase 1","FALSE"
"1","A1","26","JAK1","1.9713488817214966","0.567146629166841","pTRIP Luciferase 1","FALSE"
"1","A1","27","JAK1","2.395965099334717","0.9945653094267739","pTRIP Luciferase 1","FALSE"
"1","A1","28","JAK1","2.9854469299316406","1.5868496026704104","pTRIP Luciferase 1","FALSE"
"1","A1","29","JAK1","3.697042942047119","2.3012480774326014","pTRIP Luciferase 1","FALSE"
"1","A1","30","JAK1","4.4957404136657715","3.102748011697966","pTRIP Luciferase 1","FALSE"
"1","A1","31","JAK1","5.3067169189453125","3.91652697962422","pTRIP Luciferase 1","FALSE"
"1","A1","32","JAK1","6.084627628326416","4.697240151652037","pTRIP Luciferase 1","FALSE"
"1","A1","33","JAK1","6.794312953948975","5.409727939921307","pTRIP Luciferase 1","FALSE"
"1","A1","34","JAK1","7.438499927520752","6.056717376139797","pTRIP Luciferase 1","FALSE"
