# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"3","A3","2","2","15","198576.03","399971.84","292290.72"
"3","A3","2","2","16","203228.05","409351.28","292838.2"
"3","A3","2","2","17","210978.02","427045.16","293084.84"
"3","A3","2","2","18","223051.64","457105.56","293550.6"
"3","A3","2","2","19","240750.22","507775.38","293787.34"
"3","A3","2","2","20","261853.05","586781.2","293813.1"
"3","A3","2","2","21","284288.6","696921.7","293820.47"
"3","A3","2","2","22","306198.75","830828.0","293796.5"
"3","A3","2","2","23","326055.44","976433.5","293970.06"
"3","A3","2","2","24","343836.6","1125600.2","293853.4"
"3","A3","2","2","25","360674.88","1269222.8","293581.72"
"3","A3","2","2","26","376709.3","1404979.5","293699.2"
"3","A3","2","2","27","391321.25","1532509.2","293510.34"
"3","A3","2","2","28","405177.03","1644374.1","293384.12"
"3","A3","2","2","29","417907.16","1750797.2","293715.16"
"3","A3","2","2","30","430394.44","1844904.9","294131.6"
"3","A3","2","2","31","440724.22","1926614.5","294364.1"
"3","A3","2","2","32","449724.34","1996742.9","294212.62"
"3","A3","2","2","33","458449.3","2061856.0","294707.0"
"3","A3","2","2","34","467356.56","2117446.8","295431.47"
"3","A3","2","2","35","476265.12","2165141.2","295380.4"
"3","A3","2","2","36","482704.28","2205092.0","295753.7"
"3","A3","2","2","37","490028.1","2236639.0","296272.4"
"3","A3","2","2","38","495884.0","2261032.8","296870.78"
"3","A3","2","2","39","501954.7","2287407.0","297127.38"
"3","A3","2","2","40","506551.66","2308230.5","297301.12"
"4","A4","2","2","1","201641.0","594408.5","276082.62"
"4","A4","2","2","2","202776.66","597758.2","277531.16"
"4","A4","2","2","3","206117.0","604202.2","281097.25"
"4","A4","2","2","4","209305.81","612001.3","284595.53"
"4","A4","2","2","5","212428.11","619888.75","288112.06"
"4","A4","2","2","6","215001.1","626401.25","291411.66"
"4","A4","2","2","7","218140.97","633559.75","294320.66"
"4","A4","2","2","8","221036.17","640635.06","297270.28"
"4","A4","2","2","9","223670.16","646342.7","299671.16"
"4","A4","2","2","10","226102.78","651119.2","301742.12"
"4","A4","2","2","11","228157.17","654952.1","303711.1"
"4","A4","2","2","12","229874.95","657898.1","304578.78"
"4","A4","2","2","13","231768.72","658370.2","305388.5"
"4","A4","2","2","14","233883.22","659167.9","305512.9"
"4","A4","2","2","15","236469.22","659530.6","305359.28"
"4","A4","2","2","16","241476.56","658682.44","305177.78"
"4","A4","2","2","17","250695.7","658223.0","305339.53"
"4","A4","2","2","18","265680.66","659553.44","305204.7"
"4","A4","2","2","19","287928.53","658889.5","304972.66"
"4","A4","2","2","20","317721.5","657928.2","305153.38"
"4","A4","2","2","21","352782.66","657443.94","305741.47"
"4","A4","2","2","22","390005.16","656636.9","307112.72"
"4","A4","2","2","23","425661.44","655975.44","307936.28"
"4","A4","2","2","24","457737.9","655507.1","308851.75"
"4","A4","2","2","25","484994.38","656556.2","309169.4"
"4","A4","2","2","26","506059.62","656871.75","309813.84"
"4","A4","2","2","27","521151.5","656951.1","310518.06"
"4","A4","2","2","28","532121.4","657957.1","310870.88"
"4","A4","2","2","29","539971.7","658448.3","311390.97"
"4","A4","2","2","30","545147.94","662515.44","311338.34"
"4","A4","2","2","31","549059.75","668209.4","311454.8"
"4","A4","2","2","32","551703.7","680584.7","311578.72"
"4","A4","2","2","33","554098.0","702247.2","311579.16"
"4","A4","2","2","34","556789.1","742892.7","311961.75"
"4","A4","2","2","35","558973.44","814448.2","312155.75"
"4","A4","2","2","36","559145.9","928323.1","312411.75"
"4","A4","2","2","37","560815.56","1077656.1","312871.5"
"4","A4","2","2","38","561077.9","1244245.8","313202.88"
"4","A4","2","2","39","562893.2","1408169.6","313430.0"
"4","A4","2","2","40","564633.6","1539578.9","314043.75"
"5","A5","2","2","1","218275.34","634509.25","301994.9"
"5","A5","2","2","2","219234.86","636884.75","303193.94"
"5","A5","2","2","3","220941.53","640261.9","304101.0"
"5","A5","2","2","4","221416.08","642129.1","304054.7"
"5","A5","2","2","5","222347.02","642795.9","304127.8"
"5","A5","2","2","6","222962.83","643608.2","304263.34"
"5","A5","2","2","7","223859.52","644044.2","304337.6"
"5","A5","2","2","8","224797.47","645250.6","304240.12"
"5","A5","2","2","9","225338.34","646262.94","304458.34"
"5","A5","2","2","10","225613.58","647546.44","304757.4"
"5","A5","2","2","11","226800.27","647762.94","304768.78"
"5","A5","2","2","12","227987.53","648854.75","305108.53"
"5","A5","2","2","13","229129.06","650120.6","305426.7"
"5","A5","2","2","14","231524.22","651878.0","305443.94"
"5","A5","2","2","15","234773.22","653551.5","306049.78"
"5","A5","2","2","16","240712.9","653847.1","306648.0"
"5","A5","2","2","17","250395.5","655254.2","307104.1"
"5","A5","2","2","18","266821.16","656654.44","308188.16"
"5","A5","2","2","19","291733.5","658607.9","309328.5"
"5","A5","2","2","20","323179.94","659931.5","310889.56"
"5","A5","2","2","21","359570.75","661491.6","311867.16"
"5","A5","2","2","22","397671.1","661759.1","312775.25"
"5","A5","2","2","23","433572.3","662422.4","314039.03"
"5","A5","2","2","24","466469.62","662670.2","315295.25"
"5","A5","2","2","25","494676.28","662930.4","316273.22"
"5","A5","2","2","26","515869.88","665790.56","317051.25"
"5","A5","2","2","27","532183.44","667579.25","317764.78"
"5","A5","2","2","28","544063.44","670113.4","319026.25"
"5","A5","2","2","29","552234.94","676368.56","320254.88"
"5","A5","2","2","30","558101.1","682456.6","320631.0"
"5","A5","2","2","31","561136.25","694620.5","320826.3"
"5","A5","2","2","32","563585.1","716035.0","320828.22"
