# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"3","A3","2","2","13","326710.47","683988.3","471908.9"
"3","A3","2","2","14","337298.56","707463.56","472011.56"
"3","A3","2","2","15","356338.34","751895.5","471563.0"
"3","A3","2","2","16","384276.3","831723.3","470340.56"
"3","A3","2","2","17","419368.22","972754.25","470686.44"
"3","A3","2","2","18","456502.16","1183578.6","473224.44"
"3","A3","2","2","19","490954.5","1457850.2","473590.4"
"3","A3","2","2","20","519714.56","1769183.6","473690.6"
"3","A3","2","2","21","546365.8","2094560.1","474704.94"
"3","A3","2","2","22","570579.6","2411078.5","473871.56"
"3","A3","2","2","23","592603.0","2702828.0","472469.2"
"3","A3","2","2","24","613960.44","2965415.8","472319.12"
"3","A3","2","2","25","630654.06","3198913.2","473444.34"
"3","A3","2","2","26","645315.94","3401482.0","474136.56"
"3","A3","2","2","27","662588.9","3575357.5","474220.47"
"3","A3","2","2","28","677943.0","3716450.5","474688.94"
"3","A3","2","2","29","691361.0","3829600.5","474643.9"
"3","A3","2","2","30","702850.7","3927956.5","474422.5"
"3","A3","2","2","31","712844.56","4006349.5","474375.28"
"3","A3","2","2","32","723351.7","4063906.2","474934.16"
"3","A3","2","2","33","732847.9","4111000.5","475162.44"
