Well,Well Position,Sample Name,Target Name,Task,Reporter,Quencher,Amp Status,CT,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
34,B10,C1 ++,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,20.84682088,20.83017194,0.99004635,0.023545156,TRUE,0.361380385,TRUE,3,15,,,,,FALSE
35,B11,C1 ++,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,20.813523,20.83017194,0.988864964,0.023545156,TRUE,0.361380385,TRUE,3,14,,,,,FALSE
36,B12,,,,,,,,,,,,,,,,,,,,
37,B13,,,,,,,,,,,,,,,,,,,,
38,B14,,,,,,,,,,,,,,,,,,,,
39,B15,,,,,,,,,,,,,,,,,,,,
40,B16,,,,,,,,,,,,,,,,,,,,
41,B17,,,,,,,,,,,,,,,,,,,,
42,B18,,,,,,,,,,,,,,,,,,,,
43,B19,,,,,,,,,,,,,,,,,,,,
44,B20,,,,,,,,,,,,,,,,,,,,
45,B21,,,,,,,,,,,,,,,,,,,,
46,B22,,,,,,,,,,,,,,,,,,,,
47,B23,,,,,,,,,,,,,,,,,,,,
48,B24,,,,,,,,,,,,,,,,,,,,
49,C1,C1,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.41901349,25.43022212,0.979892135,0.015851398,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
50,C2,C1,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.44143075,25.43022212,0.981108842,0.015851398,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
51,C3,,,,,,,,,,,,,,,,,,,,
52,C4,C1 IFN,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.13245525,25.14669972,0.980808442,0.020144732,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
53,C5,C1 IFN,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.1609442,25.14669972,0.986319261,0.020144732,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
54,C6,,,,,,,,,,,,,,,,,,,,
55,C7,C1 DDC,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.64208875,25.66170982,0.982342359,0.027748383,TRUE,0.353398052,TRUE,3,20,,,,,FALSE
56,C8,C1 DDC,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.68133089,25.66170982,0.981088559,0.027748383,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
57,C9,,,,,,,,,,,,,,,,,,,,
