# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","TAMRA","FAM","ROX"
"2","A2","2","2","38","2109153.5","596813.6","4382373.0","454979.56"
"2","A2","2","2","39","2119469.5","595607.75","4397359.5","455568.5"
"2","A2","2","2","40","2126801.5","595335.6","4408369.0","455282.3"
"3","A3","2","2","1","1217097.9","694880.8","622932.9","424996.03"
"3","A3","2","2","2","1210077.2","690149.3","617368.2","421685.22"
"3","A3","2","2","3","1197688.6","679793.6","606895.1","415977.84"
"3","A3","2","2","4","1189073.4","671914.3","598050.0","413948.8"
"3","A3","2","2","5","1181806.5","668274.9","592896.4","411991.78"
"3","A3","2","2","6","1177800.5","665789.9","589307.9","409148.16"
"3","A3","2","2","7","1176303.6","662994.7","585544.75","408474.1"
"3","A3","2","2","8","1173551.4","661053.75","583744.3","408561.1"
"3","A3","2","2","9","1174169.5","658001.7","580595.2","408615.25"
"3","A3","2","2","10","1180158.6","656505.56","579682.7","408762.25"
"3","A3","2","2","11","1185551.9","655605.5","579608.94","407852.53"
"3","A3","2","2","12","1193460.5","654219.44","579140.25","407690.66"
"3","A3","2","2","13","1211466.0","651061.9","578602.75","408587.7"
"3","A3","2","2","14","1239309.1","647356.4","577364.94","411172.88"
"3","A3","2","2","15","1282663.5","644293.3","576422.06","413079.06"
"3","A3","2","2","16","1338096.5","639059.4","575747.9","413742.16"
"3","A3","2","2","17","1400305.8","633019.56","575519.56","416492.4"
"3","A3","2","2","18","1471495.4","626178.2","575303.6","419903.12"
"3","A3","2","2","19","1540952.4","618310.4","575098.06","420990.4"
"3","A3","2","2","20","1608174.6","612258.7","575371.8","424319.97"
"3","A3","2","2","21","1669765.4","608117.25","578000.56","428057.97"
"3","A3","2","2","22","1722023.0","603027.8","586857.9","428971.84"
"3","A3","2","2","23","1763103.9","598590.1","606453.3","430141.78"
"3","A3","2","2","24","1796826.1","595865.44","643265.44","432312.62"
"3","A3","2","2","25","1823320.1","594113.75","710246.1","432520.44"
"3","A3","2","2","26","1839593.9","593441.75","827330.1","431921.9"
"3","A3","2","2","27","1848645.2","592582.7","1013847.06","430836.4"
"3","A3","2","2","28","1854170.0","592227.75","1272548.4","430290.6"
"3","A3","2","2","29","1858737.1","591993.94","1591588.0","430573.78"
"3","A3","2","2","30","1863655.4","591800.4","1943108.2","430860.94"
"3","A3","2","2","31","1865690.2","591461.6","2297173.5","430741.06"
"3","A3","2","2","32","1866603.8","590582.94","2636741.8","430325.38"
"3","A3","2","2","33","1869157.9","590538.2","2945656.5","429536.5"
"3","A3","2","2","34","1870571.5","591202.4","3213569.0","429089.72"
"3","A3","2","2","35","1872613.4","591418.5","3442008.5","429304.62"
"3","A3","2","2","36","1873575.8","591857.8","3631580.8","429102.6"
"3","A3","2","2","37","1876150.9","591738.8","3782520.5","429235.8"
"3","A3","2","2","38","1878699.0","591973.0","3902601.0","428722.84"
"3","A3","2","2","39","1880779.9","593461.8","3990220.0","428310.44"
"3","A3","2","2","40","1879040.8","593705.56","4046626.2","428613.88"
"4","A4","2","2","1","1294641.9","755044.2","656996.9","455617.25"
"4","A4","2","2","2","1284304.1","748340.94","650337.5","451722.84"
"4","A4","2","2","3","1264424.2","733990.06","636536.94","443565.62"
"4","A4","2","2","4","1249235.5","722742.44","623555.0","438581.78"
"4","A4","2","2","5","1236777.6","714116.6","614825.44","434987.38"
