# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"pTRIP JAK1 S153T 1","JAK1","3","-","0","17.888118667657896","0.06120801200350342","0.03533846220678455",
"pTRIP JAK1 S153T 1","MX1","3","-","0","28.286104774507134","0.16235217409830574","0.0937340714191778",
"pTRIP JAK1 S153T 1","RSAD2","3","-","0","34.38786312920477","0.44376925772241393","0.25621030040411613",
"pTRIP JAK1 S153T 2","B-ACTIN","12","-","0","12.377095796031247","0.5640835757477126","0.16283690215169427",
"pTRIP JAK1 S153T 2","IFI27","3","-","0","30.9425862763012","0.08318473681015595","0.04802673018981171",
"pTRIP JAK1 S153T 2","JAK1","3","-","0","17.98883336646909","0.05431871569343985","0.03136092512764225",
"pTRIP JAK1 S153T 2","MX1","3","-","0","28.13771640729476","0.06803945382939745","0.039282596983917735",
"pTRIP JAK1 S153T 2","RSAD2","3","-","0","35.55978783615315","0.18929929196528358","0.10929199717356204",
"pTRIP JAK1 S153T 3","B-ACTIN","12","-","0","13.042489959734311","0.3646439262407794","0.10526363448673802",
"pTRIP JAK1 S153T 3","IFI27","3","-","0","31.82682790324205","0.09697936016685081","0.05599105969816899",
"pTRIP JAK1 S153T 3","JAK1","3","-","0","17.8642782298783","0.08766475653979577","0.0506132707866941",
"pTRIP JAK1 S153T 3","MX1","3","-","0","28.60332688615956","0.04585129560825023","0.026472257862116377",
"pTRIP JAK1 S153T 3","RSAD2","3","-","0","35.976601201632526","0.16327399461776648","0.09426628474423299",
"pTRIP JAK1 S512L 1","B-ACTIN","12","-","0","12.569756467734715","1.2330879943637716","0.35596184274020964",
"pTRIP JAK1 S512L 1","IFI27","3","-","0","31.11610054478105","0.13893646701328763","0.08021500663037717",
"pTRIP JAK1 S512L 1","JAK1","3","-","0","26.272728701366447","0.10245715491934666","0.059153665973087986",
"pTRIP JAK1 S512L 1","MX1","3","-","0","28.562433172054227","0.04371141466624273","0.025236797024214597",
"pTRIP JAK1 S512L 1","RSAD2","3","-","0","35.29797276679139","0.054871870436782294","0.03168028916761453",
"pTRIP JAK1 S512L 2","B-ACTIN","12","-","0","12.616009189243892","0.5952679127663854","0.17183904483780962",
"pTRIP JAK1 S512L 2","IFI27","3","-","0","30.996820127431945","0.08748078317629554","0.050507053715753515",
"pTRIP JAK1 S512L 2","JAK1","3","-","0","26.264648856089565","0.054649684918861144","0.031552010299032714",
"pTRIP JAK1 S512L 2","MX1","3","-","0","28.337759687863056","0.02552483231781688","0.014736768809711637",
"pTRIP JAK1 S512L 2","RSAD2","3","-","0","35.30197712989389","0.4794306606943389","0.27679942100963667",
"pTRIP JAK1 S512L 3","B-ACTIN","12","-","0","12.755223841361442","0.30708263341604003","0.08864712053310494",
"pTRIP JAK1 S512L 3","IFI27","3","-","0","31.452861652986854","0.08286708189782431","0.04784333204066763",
"pTRIP JAK1 S512L 3","JAK1","3","-","0","26.02312439578485","0.5184644893550803","0.2993356124944175",
"pTRIP JAK1 S512L 3","MX1","3","-","0","28.452433069056422","0.03408369006779188","0.019678227635615417",
"pTRIP JAK1 S512L 3","RSAD2","3","-","0","34.40905944567333","0.2123081161059362","0.12257614798490458",
"pTRIP JAK1 S703I 1","B-ACTIN","12","-","0","12.435196940304929","0.4915269331854466","0.1418916035942844",
"pTRIP JAK1 S703I 1","IFI27","3","-","0","25.112407754443566","0.06321312364340377","0.036496113951836266",
"pTRIP JAK1 S703I 1","JAK1","3","-","0","17.559710351773344","0.20820922513263046","0.1202096521780876",
"pTRIP JAK1 S703I 1","MX1","3","-","0","27.021926586482692","0.04618876914085786","0.026667098297011766",
"pTRIP JAK1 S703I 1","RSAD2","3","-","0","27.513165092155948","0.07200552853251498","0.041572411281388805",
"pTRIP JAK1 S703I 2","B-ACTIN","12","-","0","12.28188461975064","0.6374476496958861","0.18401528607310705",
"pTRIP JAK1 S703I 2","IFI27","3","-","0","25.310344690917788","0.028844954618752083","0.016653642313899056",
"pTRIP JAK1 S703I 2","JAK1","3","-","0","17.754234966938363","0.08154055251175729","0.04707745994253389",
"pTRIP JAK1 S703I 2","MX1","3","-","0","27.255787031863264","0.02844006511184844","0.01641987924809618",
"pTRIP JAK1 S703I 2","RSAD2","3","-","0","27.955631898687447","0.047560481216645245","0.027459056633218272",
"pTRIP JAK1 S703I 3","B-ACTIN","12","-","0","12.305691111330633","0.8007674345484787","0.2311616469474251",
"pTRIP JAK1 S703I 3","IFI27","3","-","0","25.34881761739429","0.22899211489800667","0.13220865917866587",
"pTRIP JAK1 S703I 3","JAK1","3","-","0","17.73060467703093","0.1976318247351675","0.1141027872112859",
