# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 H129R 2","IFI27","32.21537400617419","","32.21537400617419","0.2538629944427067","0.1465678681787812","1.4289572935309884","0.37139922411351123","0.08875923740789014","1.5540622891815916","FALSE"
"pTRIP JAK1 H129R 2","JAK1","28.349720774678904","","28.349720774678904","0.28922549171477074","0.16698441549802479","10.479589753564802","7.00372591393849E-4","1.371230687489381E-4","0.0035772373769860956","FALSE"
"pTRIP JAK1 H129R 2","RSAD2","","","","","","","","","","FALSE"
"pTRIP JAK1 H129R 3","GAPDH","16.96876385764117","","16.96876385764117","0.27302433015250405","0.09100811005083469","0.3661893426141063","0.775829026007811","0.6092137356625293","0.9880123220492419","FALSE"
"pTRIP JAK1 H129R 3","IFI27","33.48757349869372","","33.48757349869372","1.2065178798235434","0.6965834226982194","2.7011567860505217","0.1537697061386225","1.7080601959572163E-4","138.43260666060618","FALSE"
"pTRIP JAK1 H129R 3","JAK1","29.19060348270787","","29.19060348270787","0.31836867323054435","0.1838102391911988","11.32047246159377","3.910193270675562E-4","6.495573297453518E-5","0.002353850955700937","FALSE"
"pTRIP JAK1 H129R 3","RSAD2","37.53063179071184","","37.53063179071184","0.5734759556397259","0.40550873708028584","5.228261895584211","0.02667696040821108","7.655674320357898E-18","9.295852812453389E13","FALSE"
"pTRIP JAK1 I952V 1","GAPDH","","","","","","","","","","FALSE"
"pTRIP JAK1 I952V 1","IFI27","","","","","","","","","","FALSE"
"pTRIP JAK1 I952V 1","JAK1","32.59566297240939","","32.59566297240939","0.7567323996054123","0.4368996546166963","14.725531951295292","3.6912476250819334E-5","5.178250738525407E-7","0.002631257101612087","FALSE"
"pTRIP JAK1 I952V 1","RSAD2","","","","","","","","","","FALSE"
"pTRIP JAK1 I952V 2","GAPDH","","","","","","","","","","FALSE"
"pTRIP JAK1 I952V 2","IFI27","","","","","","","","","","FALSE"
"pTRIP JAK1 I952V 2","JAK1","33.02307392741482","","33.02307392741482","0.9765684765018743","0.5638220727904599","15.15294290630072","2.744793411719249E-5","1.1148409640634842E-7","0.006757816689438022","FALSE"
"pTRIP JAK1 I952V 2","RSAD2","","","","","","","","","","FALSE"
"pTRIP JAK1 I952V 3","GAPDH","","","","","","","","","","FALSE"
"pTRIP JAK1 I952V 3","IFI27","","","","","","","","","","FALSE"
"pTRIP JAK1 I952V 3","JAK1","33.265102597256906","","33.265102597256906","1.6448944506603365","0.949680253877267","15.394971576142805","2.3208751216622384E-5","2.1769243663043475E-9","0.2474344728611321","FALSE"
"pTRIP JAK1 I952V 3","RSAD2","","","","","","","","","","FALSE"
"pTRIP JAK1 M1085I 1","GAPDH","","","","","","","","","","FALSE"
"pTRIP JAK1 M1085I 1","IFI27","","","","","","","","","","FALSE"
"pTRIP JAK1 M1085I 1","JAK1","33.151328119970415","","33.151328119970415","0.7040081961762706","0.4064593215740727","15.281197098856314","2.5113156528942265E-5","4.742589395880885E-7","0.001329802304612152","FALSE"
"pTRIP JAK1 M1085I 1","RSAD2","","","","","","","","","","FALSE"
"pTRIP JAK1 M1085I 2","GAPDH","","","","","","","","","","FALSE"
