# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"pTRIP JAK1 M1085I 3","IFI27","3","-","0","","","",
"pTRIP JAK1 M1085I 3","JAK1","3","-","0","33.72123934905445","2.0746901458305533","1.197822914180334",
"pTRIP JAK1 M1085I 3","RSAD2","3","-","0","","","",
"pTRIP JAK1 S703I 1","GAPDH","9","-","0","16.089211665761056","0.44407002698489606","0.1480233423282987",
"pTRIP JAK1 S703I 1","IFI27","3","-","0","31.920211155068426","0.6798283007766247","0.39249905245611016",
"pTRIP JAK1 S703I 1","JAK1","3","-","0","20.05998623267616","0.7286860558064435","0.42070709047457683",
"pTRIP JAK1 S703I 1","RSAD2","3","-","0","35.35626622089208","0.6586632708064595","0.38027941670542875",
"pTRIP JAK1 S703I 3","GAPDH","9","-","0","16.22928103865555","0.12475225362621366","0.04158408454207122",
"pTRIP JAK1 S703I 3","IFI27","3","-","0","26.093936839811672","0.0779063880854156","0.04497927413270615",
"pTRIP JAK1 S703I 3","JAK1","3","-","0","19.87550511247005","0.14621965537692633","0.08441995739268272",
"pTRIP JAK1 S703I 3","RSAD2","3","-","0","29.179340091309854","0.04339833033664466","0.0250560377022421",
"pTRIP JAK1 S703I  2","GAPDH","9","-","0","16.69783175029726","0.36613049138056375","0.12204349712685458",
"pTRIP JAK1 S703I  2","IFI27","3","-","0","26.96439248560118","0.29681767465891484","0.17136776436456325",
"pTRIP JAK1 S703I  2","JAK1","3","-","0","21.326369150809775","0.2933381791759273","0.16935887671081631",
"pTRIP JAK1 S703I  2","RSAD2","3","-","0","29.45079551163505","0.8752885594836085","0.5053480854364611",
"pTRIP JAK1 WT 1","GAPDH","9","-","0","16.72686126940204","0.15045851856426715","0.05015283952142238",
"pTRIP JAK1 WT 1","IFI27","3","-","0","31.89645875553228","0.21655026374008565","0.1250253530634229",
"pTRIP JAK1 WT 1","JAK1","3","-","0","21.15972045546875","0.07393907596846712","0.04268874541402668",
"pTRIP JAK1 WT 1","RSAD2","3","-","0","36.249183842855494","0.1405636947801637","0.09939354176768986",
"pTRIP JAK1 WT 2","GAPDH","9","-","0","16.58710825538152","0.5418364963186902","0.1806121654395634",
"pTRIP JAK1 WT 2","IFI27","3","-","0","32.05572936634553","0.09735804300885252","0.05620969233893617",
"pTRIP JAK1 WT 2","JAK1","3","-","0","20.231371098017256","0.08499841057262704","0.049073855224796556",
"pTRIP JAK1 WT 2","RSAD2","3","-","0","35.274863076109575","2.4615551351727167","1.4211795199170738",
"pTRIP JAK1 WT 3","GAPDH","9","-","0","16.45492760385966","0.16242890692629058","0.054142968975430195",
"pTRIP JAK1 WT 3","IFI27","3","-","0","31.51205759955751","0.314703187248767","0.18169396987290884",
"pTRIP JAK1 WT 3","JAK1","3","-","0","21.08254722202892","0.7917396339284917","0.45711109077671047",
"pTRIP JAK1 WT 3","RSAD2","3","-","0","","","",
"pTRIP Luciferase 1","GAPDH","9","-","0","16.602574515027065","0.13343063206817374","0.04447687735605791",
"pTRIP Luciferase 1","IFI27","3","-","0","30.7864167126432","0.1634679003849852","0.09437823629113415",
"pTRIP Luciferase 1","JAK1","3","-","0","17.8701310211141","0.21628228207374423","0.1248706337762228",
"pTRIP Luciferase 1","RSAD2","3","-","0","32.302369895127626","0.4937874547011487","0.2850883198941684",
"pTRIP Luciferase 2","GAPDH","9","-","0","16.771861060094587","0.04885411588301704","0.01628470529433901",
"pTRIP Luciferase 2","IFI27","3","-","0","32.85540300465577","0.23152371431707278","0.133670278784744",
"pTRIP Luciferase 2","JAK1","3","-","0","19.891484090576004","0.055594548653227244","0.0320975276304165",
"pTRIP Luciferase 2","RSAD2","3","-","0","37.06762572501971","","",
"pTRIP Luciferase 3","GAPDH","9","-","0","16.562055087569846","0.1778469724490458","0.05928232414968193",
"pTRIP Luciferase 3","IFI27","3","-","0","32.37132302267462","0.10742898998100257","0.06202415628430145",
"pTRIP Luciferase 3","JAK1","3","-","0","20.26986802694721","0.0420009253638861","0.024249245565053024",
"pTRIP Luciferase 3","RSAD2","3","-","0","","","",
