gene_id,logFC,pvalue,fdr,significant,comparison
TSPAN6,4.221607976185537,1.8090016576521316e-22,4.322447717055313e-22,TRUE,WT_vs_severe
DPM1,5.673227765622403,2.4671659593231474e-21,5.005910707082715e-21,TRUE,WT_vs_severe
SCYL3,3.701123457260181,1.1310526069251848e-20,2.1032900211815093e-20,TRUE,WT_vs_severe
FIRRM,4.605450225285376,4.2193002216166e-23,1.1359435243204169e-22,TRUE,WT_vs_severe
FUCA2,6.074164029646407,5.3433471433697025e-24,1.744977839638402e-23,TRUE,WT_vs_severe
GCLC,3.945622820617837,7.408671881897394e-19,1.147672370927603e-18,TRUE,WT_vs_severe
NFYA,5.653367107993135,2.3385296977225187e-27,2.314791030451366e-26,TRUE,WT_vs_severe
STPG1,3.6548939439958112,1.6250835228315831e-18,2.446113763315658e-18,TRUE,WT_vs_severe
NIPAL3,5.852590777378341,1.7401016851578663e-23,5.074341880712734e-23,TRUE,WT_vs_severe
LAS1L,5.272244599114288,2.400766033307073e-24,8.429465940199439e-24,TRUE,WT_vs_severe
SEMA3F,6.922937114071957,1.761986028374322e-23,5.130652766819702e-23,TRUE,WT_vs_severe
ANKIB1,6.546474945762793,3.173830822911101e-26,1.993479139243375e-25,TRUE,WT_vs_severe
CYP51A1,7.634732866439001,1.247274602299887e-19,2.0794865424375225e-19,TRUE,WT_vs_severe
KRIT1,5.035749862791157,6.959608505018466e-20,1.1920647108495536e-19,TRUE,WT_vs_severe
RAD52,4.436799289035364,3.6748433376872276e-14,4.425279576618825e-14,TRUE,WT_vs_severe
MYH16,5.206995755453168,3.2546763169463293e-13,3.804757974033348e-13,TRUE,WT_vs_severe
BAD,5.479136678115233,6.713996403998511e-27,5.459472092355303e-26,TRUE,WT_vs_severe
LAP3,6.132058500020787,1.1146333369414808e-25,5.750604001934068e-25,TRUE,WT_vs_severe
CD99,7.3267194301911625,4.132888273963986e-20,7.247098367791101e-20,TRUE,WT_vs_severe
MAD1L1,7.285601509130113,1.2988707306207369e-16,1.7365226458908207e-16,TRUE,WT_vs_severe
LASP1,8.811880950960363,6.957818284670651e-27,5.614611934303395e-26,TRUE,WT_vs_severe
SNX11,4.044468795784238,8.020795690115252e-22,1.742112162333605e-21,TRUE,WT_vs_severe
M6PR,8.151271661425719,1.273795736279962e-29,4.60380813988314e-28,TRUE,WT_vs_severe
