"hgnc_symbol","logFC","pvalue","fdr"
"VCAN",0.576765540416021,0.000140658632903969,0.129395122376813
"CEMIP",0.981107751483762,1.61256082102869e-05,0.0321410247644702
"GBP1",1.48165675739906,2.44388866282409e-05,0.0389087987251272
"IFIT3",2.47439011101453,8.02250998162189e-06,0.0321410247644702
"IFIT2",2.03873057746957,1.35282839096078e-05,0.0321410247644702
"IFI6",0.923467053097828,1.22915793461116e-05,0.0321410247644702
"HELZ2",0.635823196462171,8.49969879368398e-05,0.0883953057487534
"IFI44",1.62520072880924,2.6028128589432e-05,0.0389087987251272
"CCDC120",-0.733070415798667,6.96154756152607e-05,0.083908327492055
"BATF2",1.13352921269499,7.01633309574839e-05,0.083908327492055
"SOCS3",1.60880102362268,5.34547161861789e-06,0.0321410247644702
"USP18",0.758691616921414,8.8698358473538e-05,0.0883953057487534
"IFIT1",1.08894299774561,0.000190914466897129,0.163081864973055
"IFITM1",0.958111297497827,9.19102281549629e-06,0.0321410247644702
