"gene_id","hgnc_symbol","logFC","pvalue","fdr","significant","experiment","comparison"
"14649","TMEM64",0.393122716306676,0.0772169736457473,0.511654866856844,FALSE,"Exp21","WT_vs_mild"
"14652","CHRM4",-0.10746539818135,0.339693708393024,0.706963949029913,FALSE,"Exp21","WT_vs_mild"
"14657","SMG1P3",-0.108790365562152,0.45798199101953,0.778785911294239,FALSE,"Exp21","WT_vs_mild"
"14658","GPR157",0.361812255418009,0.203865803331025,0.617461098316714,FALSE,"Exp21","WT_vs_mild"
"14663","SLC36A4",-0.0301768437745042,0.750643550794776,0.922705540015919,FALSE,"Exp21","WT_vs_mild"
"14664","ZDHHC20",0.22419845494008,0.165840892046862,0.590788727917268,FALSE,"Exp21","WT_vs_mild"
"14668","ARSJ",-0.0136786628263576,0.893051610295063,0.969499292621519,FALSE,"Exp21","WT_vs_mild"
"14669","HOXC9",0.28743458549824,0.0378763161227067,0.470133692409009,FALSE,"Exp21","WT_vs_mild"
"14670","MAP3K15",0.0114688905732592,0.886501181547212,0.966593122613201,FALSE,"Exp21","WT_vs_mild"
"14671","PPA1",0.0346005821966018,0.646190978975401,0.872208658354869,FALSE,"Exp21","WT_vs_mild"
"14672","HOXC10",0.0915859842540996,0.248927564409206,0.648328290620061,FALSE,"Exp21","WT_vs_mild"
"14673","PSMG4",-0.289750504853765,0.0195612512684446,0.466008057579888,FALSE,"Exp21","WT_vs_mild"
"14681","SSR4",-0.0772624808856914,0.337237608281374,0.705196424102959,FALSE,"Exp21","WT_vs_mild"
"14682","CAPS2",0.44260030560562,0.0126458835002537,0.465998327083855,FALSE,"Exp21","WT_vs_mild"
"14684","CUEDC1",0.196273488299183,0.0991567679343309,0.534574734946624,FALSE,"Exp21","WT_vs_mild"
"14685","SCRIB",-0.045966756899718,0.643767512581642,0.871835339216107,FALSE,"Exp21","WT_vs_mild"
"14686","KCTD2",0.210483610562753,0.0550029777750489,0.485753905422922,FALSE,"Exp21","WT_vs_mild"
"14687","D2HGDH",-0.22707054850128,0.0285330649403088,0.466008057579888,FALSE,"Exp21","WT_vs_mild"
"14692","CMTR2",0.302203414668316,0.0383679653242022,0.470133692409009,FALSE,"Exp21","WT_vs_mild"
