"gene_id","hgnc_symbol","logFC","pvalue","coefficients.1","coefficients.2","fdr","significant","experiment","comparison"
"2403","GMPR2", 2.175554e-01,3.776976e-01, 5.358638e+00, 2.175554e-01,7.618293e-01,FALSE,"25","WT_vs_mild"
"2404","PNN",-1.888370e-01,1.454485e-02, 7.679646e+00,-1.888370e-01,4.305491e-01,FALSE,"25","WT_vs_mild"
"2405","RABGGTA", 3.736792e-02,7.142698e-01, 4.276050e+00, 3.736792e-02,9.048678e-01,FALSE,"25","WT_vs_mild"
"2406","NFATC4",-8.600004e-02,2.632126e-01, 4.279923e+00,-8.600004e-02,6.783304e-01,FALSE,"25","WT_vs_mild"
"2407","PLTP", 2.086352e-01,1.650269e-01, 1.590831e+00, 2.086352e-01,5.880303e-01,FALSE,"25","WT_vs_mild"
"2408","PCIF1", 4.213658e-02,5.191862e-01, 6.726624e+00, 4.213658e-02,8.275995e-01,FALSE,"25","WT_vs_mild"
"2412","TRPC4AP",-9.743503e-03,8.772121e-01, 6.762351e+00,-9.743503e-03,9.632338e-01,FALSE,"25","WT_vs_mild"
"2413","PYGB",-4.069905e-02,5.398063e-01, 6.498769e+00,-4.069905e-02,8.365493e-01,FALSE,"25","WT_vs_mild"
"2414","ABHD12", 7.215948e-02,3.646228e-01, 6.466658e+00, 7.215948e-02,7.542855e-01,FALSE,"25","WT_vs_mild"
"2415","PROCR",-6.879687e-02,3.342361e-01, 6.400374e+00,-6.879687e-02,7.355777e-01,FALSE,"25","WT_vs_mild"
"2416","GINS1", 6.353860e-02,7.332573e-01, 4.460693e+00, 6.353860e-02,9.130070e-01,FALSE,"25","WT_vs_mild"
"2419","UQCC1",-6.810692e-02,4.219765e-01, 5.003465e+00,-6.810692e-02,7.827543e-01,FALSE,"25","WT_vs_mild"
"2420","ZMYND8", 2.257282e-02,7.301689e-01, 6.970615e+00, 2.257282e-02,9.117807e-01,FALSE,"25","WT_vs_mild"
"2422","IFT52",-2.342046e-01,1.280768e-01, 4.104905e+00,-2.342046e-01,5.509607e-01,FALSE,"25","WT_vs_mild"
"2423","MYBL2", 1.540626e-01,8.010854e-02, 5.780467e+00, 1.540626e-01,5.097122e-01,FALSE,"25","WT_vs_mild"
"2426","NDRG3",-8.023477e-02,2.608379e-01, 5.520870e+00,-8.023477e-02,6.766509e-01,FALSE,"25","WT_vs_mild"
"2428","RAB5IF", 1.032451e-02,8.615928e-01, 5.863936e+00, 1.032451e-02,9.587595e-01,FALSE,"25","WT_vs_mild"
"2430","RIMS4",-1.420899e+00,2.047693e-01, 4.865074e+00,-1.420899e+00,6.260985e-01,FALSE,"25","WT_vs_mild"
"2431","PABPC1L",-1.928319e-01,3.344528e-01, 3.415404e+00,-1.928319e-01,7.357839e-01,FALSE,"25","WT_vs_mild"
"2432","STK4",-1.736978e-01,8.448736e-02, 5.635442e+00,-1.736978e-01,5.144665e-01,FALSE,"25","WT_vs_mild"
"2434","ADNP",-8.466386e-02,2.524925e-01, 6.699210e+00,-8.466386e-02,6.700157e-01,FALSE,"25","WT_vs_mild"
"2435","PFDN4",-2.296941e-01,7.807010e-02, 4.627337e+00,-2.296941e-01,5.084614e-01,FALSE,"25","WT_vs_mild"
"2437","CSTF1",-9.651993e-03,9.177954e-01, 5.466060e+00,-9.651993e-03,9.779640e-01,FALSE,"25","WT_vs_mild"
"2439","RAE1",-7.572443e-02,4.608346e-01, 5.146684e+00,-7.572443e-02,8.006859e-01,FALSE,"25","WT_vs_mild"
"2440","TPD52L2", 5.154979e-02,4.453932e-01, 7.082774e+00, 5.154979e-02,7.952515e-01,FALSE,"25","WT_vs_mild"
"2441","DNAJC5", 1.104715e-01,8.881189e-02, 6.823376e+00, 1.104715e-01,5.172369e-01,FALSE,"25","WT_vs_mild"
"2442","NELFCD", 1.577922e-01,3.941825e-01, 4.792284e+00, 1.577922e-01,7.697838e-01,FALSE,"25","WT_vs_mild"
"2443","CTSZ", 5.586237e-02,3.271216e-01, 7.935979e+00, 5.586237e-02,7.286226e-01,FALSE,"25","WT_vs_mild"
"2444","PRPF6", 3.890241e-02,5.116439e-01, 7.387078e+00, 3.890241e-02,8.240740e-01,FALSE,"25","WT_vs_mild"
"2446","PRELID3B",-1.692905e-01,5.475197e-02, 6.600322e+00,-1.692905e-01,4.882627e-01,FALSE,"25","WT_vs_mild"
"2448","MTG2",-1.262587e-02,9.123644e-01, 5.667209e+00,-1.262587e-02,9.760714e-01,FALSE,"25","WT_vs_mild"
"2449","PSMA7", 2.954498e-02,5.922272e-01, 7.743467e+00, 2.954498e-02,8.594157e-01,FALSE,"25","WT_vs_mild"
"2450","SLCO4A1", 5.740362e-01,1.553379e-02, 7.178826e+00, 5.740362e-01,4.401595e-01,FALSE,"25","WT_vs_mild"
"2451","NTSR1", 4.583327e-01,4.354999e-03, 4.355872e+00, 4.583327e-01,4.068963e-01,FALSE,"25","WT_vs_mild"
"2452","MRGBP", 1.249076e-01,1.213827e-01, 6.617323e+00, 1.249076e-01,5.458858e-01,FALSE,"25","WT_vs_mild"
"2453","TCFL5",-7.365663e-02,6.276894e-01, 4.221445e+00,-7.365663e-02,8.724840e-01,FALSE,"25","WT_vs_mild"
"2454","DIDO1",-5.857464e-02,4.623697e-01, 6.790405e+00,-5.857464e-02,8.013488e-01,FALSE,"25","WT_vs_mild"
"2455","GID8", 2.350980e-03,9.759922e-01, 6.052336e+00, 2.350980e-03,9.946221e-01,FALSE,"25","WT_vs_mild"
"2456","SLC17A9",-8.003241e-02,6.237468e-01, 5.030995e+00,-8.003241e-02,8.708802e-01,FALSE,"25","WT_vs_mild"
"2459","ARFGAP1",-3.504107e-01,8.979488e-02, 7.753488e+00,-3.504107e-01,5.172369e-01,FALSE,"25","WT_vs_mild"
"2463","EEF1A2", 7.854497e-02,2.062801e-01, 1.028507e+01, 7.854497e-02,6.269618e-01,FALSE,"25","WT_vs_mild"
"2465","GMEB2", 5.161831e-02,5.181619e-01, 5.695532e+00, 5.161831e-02,8.271086e-01,FALSE,"25","WT_vs_mild"
"2466","ADISSP", 1.639836e-01,6.471246e-02, 6.193862e+00, 1.639836e-01,4.957416e-01,FALSE,"25","WT_vs_mild"
"2468","CDC25B", 9.685854e-02,2.401067e-01, 7.276535e+00, 9.685854e-02,6.576196e-01,FALSE,"25","WT_vs_mild"
"2470","RNF24", 1.302284e-01,2.678295e-01, 5.545096e+00, 1.302284e-01,6.820642e-01,FALSE,"25","WT_vs_mild"
"2471","ARFRP1", 1.280079e-01,1.755666e-01, 4.991491e+00, 1.280079e-01,5.981656e-01,FALSE,"25","WT_vs_mild"
"2472","NDUFAF5",-1.986833e-01,1.719195e-01, 3.493713e+00,-1.986833e-01,5.952477e-01,FALSE,"25","WT_vs_mild"
"2474","TRIB3",-1.280613e-01,2.382218e-01, 7.026703e+00,-1.280613e-01,6.557995e-01,FALSE,"25","WT_vs_mild"
"2475","RASSF2", 2.918487e-01,4.536737e-02, 4.053189e+00, 2.918487e-01,4.688675e-01,FALSE,"25","WT_vs_mild"
"2476","CSNK2A1",-6.983064e-02,3.608524e-01, 7.590359e+00,-6.983064e-02,7.531658e-01,FALSE,"25","WT_vs_mild"
"2480","RSPO4",-2.281040e-03,9.822440e-01, 4.567250e+00,-2.281040e-03,9.962541e-01,FALSE,"25","WT_vs_mild"
"2481","CDS2", 6.311346e-02,6.592276e-01, 6.052020e+00, 6.311346e-02,8.824382e-01,FALSE,"25","WT_vs_mild"
"2483","HM13", 7.121490e-02,2.836569e-01, 6.959685e+00, 7.121490e-02,6.961323e-01,FALSE,"25","WT_vs_mild"
"2484","SNPH",-1.903308e-03,9.839464e-01, 4.718479e+00,-1.903308e-03,9.963455e-01,FALSE,"25","WT_vs_mild"
"2486","SIRPB1", 1.339148e-01,8.010666e-01, 2.723983e-03, 1.339148e-01,9.370799e-01,FALSE,"25","WT_vs_mild"
"2487","SEC23B", 1.688038e-01,3.875553e-01, 4.846414e+00, 1.688038e-01,7.660784e-01,FALSE,"25","WT_vs_mild"
"2488","FERMT1",-8.715376e-02,3.799657e-01, 3.852340e+00,-8.715376e-02,7.628296e-01,FALSE,"25","WT_vs_mild"
"2492","PLCB4", 9.457078e-02,5.026199e-01, 4.606395e+00, 9.457078e-02,8.204992e-01,FALSE,"25","WT_vs_mild"
"2493","MYL9", 3.664404e-02,6.771180e-01, 6.443422e+00, 3.664404e-02,8.894611e-01,FALSE,"25","WT_vs_mild"
"2495","TM9SF4", 9.924044e-03,8.821945e-01, 7.645084e+00, 9.924044e-03,9.645181e-01,FALSE,"25","WT_vs_mild"
"2497","CRNKL1",-1.437334e-02,8.250144e-01, 5.500274e+00,-1.437334e-02,9.443876e-01,FALSE,"25","WT_vs_mild"
"2498","POFUT1", 1.505306e-01,6.218495e-02, 7.184545e+00, 1.505306e-01,4.941890e-01,FALSE,"25","WT_vs_mild"
"2499","SAMHD1", 2.952451e-02,9.920374e-01,-7.519388e-01, 2.952451e-02,9.982661e-01,FALSE,"25","WT_vs_mild"
"2501","KIF3B", 2.203754e-02,6.980798e-01, 6.465991e+00, 2.203754e-02,9.004786e-01,FALSE,"25","WT_vs_mild"
"2503","NOP56",-5.621596e-02,5.080798e-01, 5.820698e+00,-5.621596e-02,8.223206e-01,FALSE,"25","WT_vs_mild"
"2504","MANBAL",-5.244024e-02,5.266634e-01, 5.792260e+00,-5.244024e-02,8.305157e-01,FALSE,"25","WT_vs_mild"
"2505","IDH3B", 4.568748e-02,4.819573e-01, 6.943906e+00, 4.568748e-02,8.112275e-01,FALSE,"25","WT_vs_mild"
