"gene_id","hgnc_symbol","logFC","pvalue","fdr","significant","experiment","comparison"
"1","TSPAN6",0.0579941746024269,0.497952330011022,0.923055776512425,FALSE,"Exp21","mild_vs_severe"
"3","DPM1",0.030153530421593,0.735864746415181,0.967691791884847,FALSE,"Exp21","mild_vs_severe"
"4","SCYL3",-0.0138673891921828,0.90632405298323,0.993126220076582,FALSE,"Exp21","mild_vs_severe"
"5","FIRRM",0.0823233326690631,0.472623351015938,0.921959424173688,FALSE,"Exp21","mild_vs_severe"
"8","FUCA2",0.0395943852829278,0.586611720004478,0.940959151925228,FALSE,"Exp21","mild_vs_severe"
"9","GCLC",-0.236172593034789,0.119772188729483,0.840319888659087,FALSE,"Exp21","mild_vs_severe"
"10","NFYA",0.0236453040257417,0.736565133013886,0.967691791884847,FALSE,"Exp21","mild_vs_severe"
"11","STPG1",0.0378928816536974,0.719731351957157,0.966348628949774,FALSE,"Exp21","mild_vs_severe"
"12","NIPAL3",0.141718036858891,0.260508674633321,0.872589545656961,FALSE,"Exp21","mild_vs_severe"
"13","LAS1L",0.240536297408354,0.0229585328363761,0.77957550865689,FALSE,"Exp21","mild_vs_severe"
"15","SEMA3F",0.0489213549705849,0.557485036323292,0.935189163892586,FALSE,"Exp21","mild_vs_severe"
"17","ANKIB1",-0.0669283448515159,0.438847686982466,0.915752833471176,FALSE,"Exp21","mild_vs_severe"
"18","CYP51A1",0.0609037147706345,0.555740750324945,0.934874749902561,FALSE,"Exp21","mild_vs_severe"
"19","KRIT1",-0.154106082434789,0.154729194683,0.843016505414954,FALSE,"Exp21","mild_vs_severe"
"20","RAD52",-0.276492223429079,0.14245021648631,0.841290100612215,FALSE,"Exp21","mild_vs_severe"
"21","MYH16",-0.217961199388972,0.0271631168701408,0.781906573152261,FALSE,"Exp21","mild_vs_severe"
"22","BAD",0.0341627229879011,0.665238379387502,0.957852420195701,FALSE,"Exp21","mild_vs_severe"
"23","LAP3",0.134769057704415,0.102704412221332,0.836450893554915,FALSE,"Exp21","mild_vs_severe"
"24","CD99",0.0266909969241007,0.756426458078026,0.971514934556201,FALSE,"Exp21","mild_vs_severe"
"29","MAD1L1",0.0877735614445685,0.42602933350599,0.913734859774099,FALSE,"Exp21","mild_vs_severe"
"30","LASP1",0.071154153026967,0.414597503937803,0.911922092083989,FALSE,"Exp21","mild_vs_severe"
"31","SNX11",0.355142014079107,0.0825196815838274,0.825468988975203,FALSE,"Exp21","mild_vs_severe"
"33","M6PR",0.043319994076394,0.517724883275717,0.928542817613326,FALSE,"Exp21","mild_vs_severe"
